Net 1 Epoch 0/50 Training: Batch 288/2048. Total Loss 1.1023, Localization Loss 0.0000, Cover Loss 0.4982, Recover Loss 0.6042, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 292/2048. Total Loss 1.0203, Localization Loss 0.0000, Cover Loss 0.4693, Recover Loss 0.5510, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 296/2048. Total Loss 0.8333, Localization Loss 0.0000, Cover Loss 0.3809, Recover Loss 0.4524, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 300/2048. Total Loss 1.5453, Localization Loss 0.0000, Cover Loss 0.6548, Recover Loss 0.8906, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 304/2048. Total Loss 0.5214, Localization Loss 0.0000, Cover Loss 0.2359, Recover Loss 0.2855, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 308/2048. Total Loss 0.8774, Localization Loss 0.0000, Cover Loss 0.4152, Recover Loss 0.4622, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 312/2048. Total Loss 0.9635, Localization Loss 0.0000, Cover Loss 0.4251, Recover Loss 0.5384, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 316/2048. Total Loss 0.5480, Localization Loss 0.0000, Cover Loss 0.2562, Recover Loss 0.2918, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 320/2048. Total Loss 0.8637, Localization Loss 0.0000, Cover Loss 0.4094, Recover Loss 0.4542, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 324/2048. Total Loss 0.5108, Localization Loss 0.0000, Cover Loss 0.1710, Recover Loss 0.3398, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 328/2048. Total Loss 0.9054, Localization Loss 0.0000, Cover Loss 0.3108, Recover Loss 0.5945, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 332/2048. Total Loss 0.6453, Localization Loss 0.0000, Cover Loss 0.2195, Recover Loss 0.4257, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 336/2048. Total Loss 0.6854, Localization Loss 0.0000, Cover Loss 0.3202, Recover Loss 0.3652, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 340/2048. Total Loss 0.6061, Localization Loss 0.0000, Cover Loss 0.2886, Recover Loss 0.3174, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 344/2048. Total Loss 0.4015, Localization Loss 0.0000, Cover Loss 0.1692, Recover Loss 0.2323, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 348/2048. Total Loss 1.5760, Localization Loss 0.0000, Cover Loss 0.7482, Recover Loss 0.8278, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 352/2048. Total Loss 0.5946, Localization Loss 0.0000, Cover Loss 0.2207, Recover Loss 0.3739, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 356/2048. Total Loss 0.4281, Localization Loss 0.0000, Cover Loss 0.1435, Recover Loss 0.2846, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 360/2048. Total Loss 0.9851, Localization Loss 0.0000, Cover Loss 0.4322, Recover Loss 0.5528, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
